model,query_type,ref,f1_types,f1_capabilities,f1_requirements,f1_properties
gpt4o,complet,17,0.8333,1.0,0.6667,0.5
llama_70b,complet,17,0.6154,1.0,0.5,0.4615
mistral_2512,complet,17,0.7143,0.0,0.8235,0.5833
mistral_7b,complet,17,0.1538,0.0,0.6667,0.2222
NL2TOSCA,incomplet,17,0.75,0.3333,0.8,0.5333
claude,incomplet,17,0.5714,0.0,0.7059,0.1818
deepseek,incomplet,17,0.1538,0.5,0.5882,0.1714
gemini,incomplet,17,0.7692,0.4,0.625,0.5185
gpt4o,incomplet,17,0.6667,0.0,0.5556,0.1
llama_70b,incomplet,17,0.8333,0.0,0.625,0.1667
mistral_2512,incomplet,17,0.6154,0.0,0.8,0.5
mistral_7b,incomplet,17,0.1667,0.0,0.5,0.0769
NL2TOSCA,business,1,0.9333,0.2857,0.6667,0.3636
claude,business,1,0.4,0.5,0.2667,0.069
deepseek,business,1,0.7143,0.6667,0.2105,0.2105
gemini,business,1,0.25,0.6667,0.25,0.1818
gpt4o,business,1,0.6154,1.0,0.6154,0.1818
llama_70b,business,1,0.4,0.0,0.3333,0.0
mistral_2512,business,1,0.8571,0.6667,0.5333,0.2667
mistral_7b,business,1,0.2353,0.0,0.2353,0.1333
NL2TOSCA,complet,1,0.9333,0.25,0.6667,0.4211
claude,complet,1,0.4,0.6667,0.2667,0.1481
deepseek,complet,1,0.6154,0.6667,0.5,0.2727
gemini,complet,1,0.2857,0.6667,0.2857,0.2105
gpt4o,complet,1,0.7692,0.5,0.4286,0.125
llama_70b,complet,1,0.4615,0.0,0.3077,0.1053
mistral_2512,complet,1,1.0,0.6667,0.4286,0.25
mistral_7b,complet,1,0.25,0.0,0.3077,0.1
NL2TOSCA,incomplet,1,0.9333,0.2857,0.75,0.381
claude,incomplet,1,0.9333,0.0,0.4706,0.5
deepseek,incomplet,1,0.4706,0.5,0.3571,0.1667
gemini,incomplet,1,0.4,0.0,0.2353,0.1818
gpt4o,incomplet,1,0.8,0.6667,0.625,0.375
llama_70b,incomplet,1,0.7143,0.0,0.5714,0.2
mistral_2512,incomplet,1,0.9333,0.6667,0.5882,0.4
mistral_7b,incomplet,1,0.0,0.0,0.3077,0.3636
NL2TOSCA,business,21,1.0,0.75,1.0,0.7097
claude,business,21,0.6667,0.5,0.8,0.7
deepseek,business,21,0.1818,0.4,0.6667,0.5455
gemini,business,21,0.8333,0.4,0.8,0.7143
gpt4o,business,21,0.6667,0.5,0.8889,0.6667
llama_70b,business,21,0.8,0.5,0.4444,0.4444
mistral_2512,business,21,0.5333,0.8,0.7143,0.6452
mistral_7b,business,21,0.0,0.0,0.5714,0.0833
NL2TOSCA,complet,21,1.0,0.75,1.0,0.7333
claude,complet,21,0.6667,0.5,0.8,0.6667
deepseek,complet,21,0.4,0.8,0.5,0.8462
gemini,complet,21,1.0,0.8,0.8,0.7143
gpt4o,complet,21,0.4,0.5,0.4444,0.6087
llama_70b,complet,21,0.8333,0.4,0.4444,0.6897
mistral_2512,complet,21,0.5,0.8,0.8,0.8333
mistral_7b,complet,21,0.0,0.0,0.0,0.0909
NL2TOSCA,incomplet,21,1.0,0.75,1.0,0.6875
claude,incomplet,21,0.6667,0.5,0.8,0.375
deepseek,incomplet,21,0.0,0.0,0.6154,0.2857
gemini,incomplet,21,0.25,0.6667,0.4,0.4375
gpt4o,incomplet,21,0.6667,0.5,0.8889,0.4706
llama_70b,incomplet,21,0.8,0.4,0.5,0.3636
mistral_2512,incomplet,21,0.4286,0.8,0.6667,0.7407
mistral_7b,incomplet,21,0.0,0.0,0.0,0.0
NL2TOSCA,business,49,1.0,0.0,1.0,0.8421
claude,business,49,0.4444,0.0,0.8571,0.0
deepseek,business,49,0.75,0.3333,0.6667,0.4545
gemini,business,49,0.25,0.0,0.2857,0.3333
gpt4o,business,49,0.5,0.5,0.4,0.25
llama_70b,business,49,0.25,0.0,0.0,0.375
mistral_2512,business,49,0.5,0.4,0.6667,0.4762
mistral_7b,business,49,0.0,0.0,0.0,0.0
NL2TOSCA,complet,49,0.9091,0.6667,0.8889,0.6667
claude,complet,49,0.4,0.4,1.0,0.4
deepseek,complet,49,0.4,0.3333,0.7273,0.2609
gemini,complet,49,0.1429,0.5,0.2857,0.3636
gpt4o,complet,49,0.5455,0.0,0.6667,0.2222
llama_70b,complet,49,0.5,0.0,0.6,0.2857
mistral_2512,complet,49,0.5455,0.3333,0.8889,0.2759
mistral_7b,complet,49,0.2,0.0,0.8571,0.3077
NL2TOSCA,incomplet,49,1.0,0.6667,1.0,0.6061
claude,incomplet,49,0.25,0.0,0.6667,0.0
deepseek,incomplet,49,0.4444,0.3333,0.6667,0.4167
gemini,incomplet,49,0.6667,0.6667,0.5714,0.4
gpt4o,incomplet,49,0.5,0.4,0.5714,0.2353
llama_70b,incomplet,49,0.25,0.0,0.6667,0.381
mistral_2512,incomplet,49,0.2222,0.8,0.5,0.4
mistral_7b,incomplet,49,0.0,0.0,0.6667,0.125
NL2TOSCA,business,58,1.0,0.8,1.0,0.56
claude,business,58,0.5,0.0,1.0,0.0
deepseek,business,58,0.4,0.0,0.6667,0.2727
gemini,business,58,0.5,0.75,1.0,0.5455
gpt4o,business,58,0.5,0.0,0.0,0.2857
llama_70b,business,58,0.4,0.3333,0.0,0.3529
mistral_2512,business,58,0.3333,0.6667,0.0,0.3636
mistral_7b,business,58,0.0,0.0,0.0,0.0
NL2TOSCA,complet,58,1.0,0.8,1.0,0.5385
claude,complet,58,0.5,0.4,1.0,0.2667
deepseek,complet,58,0.4,1.0,0.6667,0.32
gemini,complet,58,0.5,0.3333,1.0,0.2857
gpt4o,complet,58,0.5,0.0,0.0,0.2667
llama_70b,complet,58,0.5,0.0,0.0,0.125
mistral_2512,complet,58,0.5,0.6667,1.0,0.4444
mistral_7b,complet,58,0.0,0.0,0.0,0.0
NL2TOSCA,incomplet,58,1.0,0.8889,1.0,0.5
claude,incomplet,58,0.5,0.4,1.0,0.2857
deepseek,incomplet,58,0.5,0.0,1.0,0.2353
gemini,incomplet,58,0.0,0.0,0.0,0.0
gpt4o,incomplet,58,0.4,0.6667,0.0,0.4211
llama_70b,incomplet,58,1.0,0.0,0.0,0.2353
mistral_2512,incomplet,58,0.5,0.6667,1.0,0.4
mistral_7b,incomplet,58,0.0,0.0,0.0,0.125
NL2TOSCA,business,5,0.8,0.5,0.8889,0.48
claude,business,5,0.6,0.0,0.6,0.3636
deepseek,business,5,0.6667,0.0,0.5,0.48
gemini,business,5,0.1818,0.0,0.6,0.3636
gpt4o,business,5,0.8,0.0,0.6,0.3158
llama_70b,business,5,0.3636,0.0,0.3333,0.3158
mistral_2512,business,5,0.8,0.4,0.8889,0.4211
mistral_7b,business,5,0.0,0.0,0.0,0.0
NL2TOSCA,complet,5,0.8,0.5,1.0,0.4444
claude,complet,5,0.6,0.0,0.6,0.375
deepseek,complet,5,0.0,0.0,0.8889,0.1818
gemini,complet,5,0.8,0.2857,0.5455,0.32
gpt4o,complet,5,0.6,0.0,0.6,0.1429
llama_70b,complet,5,0.2,0.0,0.6,0.2222
mistral_2512,complet,5,0.7273,0.0,0.7273,0.381
mistral_7b,complet,5,0.0,0.0,0.5,0.0
NL2TOSCA,incomplet,5,0.6667,0.5,0.8571,0.3158
claude,incomplet,5,0.6,0.0,0.6,0.5
deepseek,incomplet,5,0.0,0.0,0.6,0.1053
gemini,incomplet,5,0.0,0.0,0.6,0.2222
gpt4o,incomplet,5,0.6,0.0,0.75,0.25
llama_70b,incomplet,5,0.5455,0.0,0.4444,0.3478
mistral_2512,incomplet,5,0.8,0.0,0.75,0.3478
mistral_7b,incomplet,5,0.0,0.0,0.3333,0.1818
NL2TOSCA,business,6,0.9231,0.5,0.9091,0.5517
claude,business,6,0.8333,0.0,0.6,0.0
deepseek,business,6,0.3333,0.5,0.2353,0.4545
gemini,business,6,0.375,0.0,0.4,0.24
gpt4o,business,6,0.8,0.6667,0.5714,0.3158
llama_70b,business,6,0.8,0.0,0.5,0.1111
mistral_2512,business,6,0.9091,0.5,0.4444,0.5714
mistral_7b,business,6,0.0,0.0,0.25,0.1667
NL2TOSCA,complet,6,0.8571,0.5,0.8333,0.6154
claude,complet,6,0.7692,0.0,0.5455,0.3333
deepseek,complet,6,0.4,0.4,0.3333,0.3571
gemini,complet,6,0.3077,0.2857,0.7273,0.5833
gpt4o,complet,6,0.7692,0.6667,0.6,0.3478
llama_70b,complet,6,0.9091,0.6667,0.5455,0.1818
mistral_2512,complet,6,0.6667,0.5,0.5455,0.381
mistral_7b,complet,6,0.4,0.0,0.3333,0.3
NL2TOSCA,incomplet,6,0.8571,0.5,0.8333,0.6364
claude,incomplet,6,0.7692,0.0,0.5455,0.2857
deepseek,incomplet,6,0.5,0.8,0.6,0.5455
gemini,incomplet,6,0.3333,0.4,0.5,0.3846
gpt4o,incomplet,6,0.8,0.5,0.5,0.2667
llama_70b,incomplet,6,0.6667,0.6667,0.25,0.125
mistral_2512,incomplet,6,0.7273,0.4,0.6667,0.4167
mistral_7b,incomplet,6,0.0,0.0,0.4444,0.125
