model,query_type,ref,f1_types,f1_capabilities,f1_requirements,f1_properties,cosine_similarity
gemini,complet,17,0.5714,0.5,0.6667,0.5333,0.8725
gpt4o,complet,17,0.8333,1.0,0.6667,0.5,0.879
llama_70b,complet,17,0.6154,1.0,0.5,0.4615,0.8848
mistral_2512,complet,17,0.7143,0.0,0.8235,0.5833,0.8374
mistral_7b,complet,17,0.1538,0.0,0.6667,0.2222,0.769
NL2TOSCA,incomplet,17,0.75,0.3333,0.8,0.5333,0.9512
claude,incomplet,17,0.5714,0.0,0.7059,0.1818,0.8063
deepseek,incomplet,17,0.1538,0.5,0.5882,0.1714,0.8043
gemini,incomplet,17,0.7692,0.4,0.625,0.5185,0.9138
gpt4o,incomplet,17,0.6667,0.0,0.5556,0.1,0.8951
llama_70b,incomplet,17,0.8333,0.0,0.625,0.1667,0.837
mistral_2512,incomplet,17,0.6154,0.0,0.8,0.5,0.831
mistral_7b,incomplet,17,0.1667,0.0,0.5,0.0769,0.7545
NL2TOSCA,business,1,0.9333,0.2857,0.6667,0.3636,0.9249
claude,business,1,0.4,0.5,0.2667,0.069,0.6876
deepseek,business,1,0.7143,0.6667,0.2105,0.2105,0.8546
gemini,business,1,0.25,0.6667,0.25,0.1818,0.7764
gpt4o,business,1,0.6154,1.0,0.6154,0.1818,0.8489
llama_70b,business,1,0.4,0.0,0.3333,0.0,0.7868
mistral_2512,business,1,0.8571,0.6667,0.5333,0.2667,0.9196
mistral_7b,business,1,0.2353,0.0,0.2353,0.1333,0.7278
NL2TOSCA,complet,1,0.9333,0.25,0.6667,0.4211,0.9102
claude,complet,1,0.4,0.6667,0.2667,0.1481,0.7281
deepseek,complet,1,0.6154,0.6667,0.5,0.2727,0.8177
gemini,complet,1,0.2857,0.6667,0.2857,0.2105,0.7746
gpt4o,complet,1,0.7692,0.5,0.4286,0.125,0.8189
llama_70b,complet,1,0.4615,0.0,0.3077,0.1053,0.732
mistral_2512,complet,1,1.0,0.6667,0.4286,0.25,0.9235
mistral_7b,complet,1,0.25,0.0,0.3077,0.1,0.7293
NL2TOSCA,incomplet,1,0.9333,0.2857,0.75,0.381,0.9349
claude,incomplet,1,0.9333,0.0,0.4706,0.5,0.9231
deepseek,incomplet,1,0.4706,0.5,0.3571,0.1667,0.7415
gemini,incomplet,1,0.4,0.0,0.2353,0.1818,0.7519
gpt4o,incomplet,1,0.8,0.6667,0.625,0.375,0.8745
llama_70b,incomplet,1,0.7143,0.0,0.5714,0.2,0.889
mistral_2512,incomplet,1,0.9333,0.6667,0.5882,0.4,0.956
mistral_7b,incomplet,1,0.0,0.0,0.3077,0.3636,0.5905
NL2TOSCA,business,21,1.0,0.75,1.0,0.7097,0.9467
claude,business,21,0.6667,0.5,0.8,0.7,0.9116
deepseek,business,21,0.1818,0.4,0.6667,0.5455,0.8562
gemini,business,21,0.8333,0.4,0.8,0.7143,0.8728
gpt4o,business,21,0.6667,0.5,0.8889,0.6667,0.9003
llama_70b,business,21,0.8,0.5,0.4444,0.4444,0.8491
mistral_2512,business,21,0.5333,0.8,0.7143,0.6452,0.8012
mistral_7b,business,21,0.0,0.0,0.5714,0.0833,0.7367
NL2TOSCA,complet,21,1.0,0.75,1.0,0.7333,0.9547
claude,complet,21,0.6667,0.5,0.8,0.6667,0.9077
deepseek,complet,21,0.4,0.8,0.5,0.8462,0.8896
gemini,complet,21,1.0,0.8,0.8,0.7143,0.9462
gpt4o,complet,21,0.4,0.5,0.4444,0.6087,0.8534
llama_70b,complet,21,0.8333,0.4,0.4444,0.6897,0.8263
mistral_2512,complet,21,0.5,0.8,0.8,0.8333,0.923
mistral_7b,complet,21,0.0,0.0,0.0,0.0909,0.5906
NL2TOSCA,incomplet,21,1.0,0.75,1.0,0.6875,0.9467
claude,incomplet,21,0.6667,0.5,0.8,0.375,0.8915
deepseek,incomplet,21,0.0,0.0,0.6154,0.2857,0.5905
gemini,incomplet,21,0.25,0.6667,0.4,0.4375,0.8359
gpt4o,incomplet,21,0.6667,0.5,0.8889,0.4706,0.8671
llama_70b,incomplet,21,0.8,0.4,0.5,0.3636,0.8686
mistral_2512,incomplet,21,0.4286,0.8,0.6667,0.7407,0.8078
mistral_7b,incomplet,21,0.0,0.0,0.0,0.0,0.4347
NL2TOSCA,business,49,1.0,0.0,1.0,0.8421,0.9301
claude,business,49,0.4444,0.0,0.8571,0.0,0.8248
deepseek,business,49,0.75,0.3333,0.6667,0.4545,0.8913
gemini,business,49,0.25,0.0,0.2857,0.3333,0.8395
gpt4o,business,49,0.5,0.5,0.4,0.25,0.8561
llama_70b,business,49,0.25,0.0,0.0,0.375,0.8222
mistral_2512,business,49,0.5,0.4,0.6667,0.4762,0.8613
mistral_7b,business,49,0.0,0.0,0.0,0.0,0.0017
NL2TOSCA,complet,49,0.9091,0.6667,0.8889,0.6667,0.946
claude,complet,49,0.4,0.4,1.0,0.4,0.8847
deepseek,complet,49,0.4,0.3333,0.7273,0.2609,0.8762
gemini,complet,49,0.1429,0.5,0.2857,0.3636,0.8542
gpt4o,complet,49,0.5455,0.0,0.6667,0.2222,0.8196
llama_70b,complet,49,0.5,0.0,0.6,0.2857,0.8687
mistral_2512,complet,49,0.5455,0.3333,0.8889,0.2759,0.8893
mistral_7b,complet,49,0.2,0.0,0.8571,0.3077,0.7553
NL2TOSCA,incomplet,49,1.0,0.6667,1.0,0.6061,0.9153
claude,incomplet,49,0.25,0.0,0.6667,0.0,0.7838
deepseek,incomplet,49,0.4444,0.3333,0.6667,0.4167,0.8525
gemini,incomplet,49,0.6667,0.6667,0.5714,0.4,0.8785
gpt4o,incomplet,49,0.5,0.4,0.5714,0.2353,0.8458
llama_70b,incomplet,49,0.25,0.0,0.6667,0.381,0.8284
mistral_2512,incomplet,49,0.2222,0.8,0.5,0.4,0.8777
mistral_7b,incomplet,49,0.0,0.0,0.6667,0.125,0.7385
NL2TOSCA,business,58,1.0,0.8,1.0,0.56,0.8154
claude,business,58,0.5,0.0,1.0,0.0,0.754
deepseek,business,58,0.4,0.0,0.6667,0.2727,0.8359
gemini,business,58,0.5,0.75,1.0,0.5455,0.8462
gpt4o,business,58,0.5,0.0,0.0,0.2857,0.7381
llama_70b,business,58,0.4,0.3333,0.0,0.3529,0.7693
mistral_2512,business,58,0.3333,0.6667,0.0,0.3636,0.852
mistral_7b,business,58,0.0,0.0,0.0,0.0,-0.0701
NL2TOSCA,complet,58,1.0,0.8,1.0,0.5385,0.7924
claude,complet,58,0.5,0.4,1.0,0.2667,0.8289
deepseek,complet,58,0.4,1.0,0.6667,0.32,0.8404
gemini,complet,58,0.5,0.3333,1.0,0.2857,0.8416
gpt4o,complet,58,0.5,0.0,0.0,0.2667,0.6912
llama_70b,complet,58,0.5,0.0,0.0,0.125,0.7449
mistral_2512,complet,58,0.5,0.6667,1.0,0.4444,0.8285
mistral_7b,complet,58,0.0,0.0,0.0,0.0,-0.0701
NL2TOSCA,incomplet,58,1.0,0.8889,1.0,0.5,0.8271
claude,incomplet,58,0.5,0.4,1.0,0.2857,0.8511
deepseek,incomplet,58,0.5,0.0,1.0,0.2353,0.7387
gemini,incomplet,58,0.0,0.0,0.0,0.0,-0.0701
gpt4o,incomplet,58,0.4,0.6667,0.0,0.4211,0.7996
llama_70b,incomplet,58,1.0,0.0,0.0,0.2353,0.7585
mistral_2512,incomplet,58,0.5,0.6667,1.0,0.4,0.8457
mistral_7b,incomplet,58,0.0,0.0,0.0,0.125,0.5402
NL2TOSCA,business,5,0.8,0.5,0.8889,0.48,0.9525
claude,business,5,0.6,0.0,0.6,0.3636,0.8529
deepseek,business,5,0.6667,0.0,0.5,0.48,0.8985
gemini,business,5,0.1818,0.0,0.6,0.3636,0.7588
gpt4o,business,5,0.8,0.0,0.6,0.3158,0.881
llama_70b,business,5,0.3636,0.0,0.3333,0.3158,0.8094
mistral_2512,business,5,0.8,0.4,0.8889,0.4211,0.934
mistral_7b,business,5,0.0,0.0,0.0,0.0,-0.0458
NL2TOSCA,complet,5,0.8,0.5,1.0,0.4444,0.9591
claude,complet,5,0.6,0.0,0.6,0.375,0.8948
deepseek,complet,5,0.0,0.0,0.8889,0.1818,0.4978
gemini,complet,5,0.8,0.2857,0.5455,0.32,0.8831
gpt4o,complet,5,0.6,0.0,0.6,0.1429,0.8015
llama_70b,complet,5,0.2,0.0,0.6,0.2222,0.7751
mistral_2512,complet,5,0.7273,0.0,0.7273,0.381,0.8987
mistral_7b,complet,5,0.0,0.0,0.5,0.0,0.6593
NL2TOSCA,incomplet,5,0.6667,0.5,0.8571,0.3158,0.8651
claude,incomplet,5,0.6,0.0,0.6,0.5,0.8736
deepseek,incomplet,5,0.0,0.0,0.6,0.1053,0.6328
gemini,incomplet,5,0.0,0.0,0.6,0.2222,0.5548
gpt4o,incomplet,5,0.6,0.0,0.75,0.25,0.8742
llama_70b,incomplet,5,0.5455,0.0,0.4444,0.3478,0.8221
mistral_2512,incomplet,5,0.8,0.0,0.75,0.3478,0.9058
mistral_7b,incomplet,5,0.0,0.0,0.3333,0.1818,0.5987
NL2TOSCA,business,6,0.9231,0.5,0.9091,0.5517,0.912
claude,business,6,0.8333,0.0,0.6,0.0,0.8787
deepseek,business,6,0.3333,0.5,0.2353,0.4545,0.8214
gemini,business,6,0.375,0.0,0.4,0.24,0.8216
gpt4o,business,6,0.8,0.6667,0.5714,0.3158,0.8864
llama_70b,business,6,0.8,0.0,0.5,0.1111,0.8096
mistral_2512,business,6,0.9091,0.5,0.4444,0.5714,0.9248
mistral_7b,business,6,0.0,0.0,0.25,0.1667,0.7191
NL2TOSCA,complet,6,0.8571,0.5,0.8333,0.6154,0.9319
claude,complet,6,0.7692,0.0,0.5455,0.3333,0.9285
deepseek,complet,6,0.4,0.4,0.3333,0.3571,0.7931
gemini,complet,6,0.3077,0.2857,0.7273,0.5833,0.8515
gpt4o,complet,6,0.7692,0.6667,0.6,0.3478,0.8641
llama_70b,complet,6,0.9091,0.6667,0.5455,0.1818,0.8827
mistral_2512,complet,6,0.6667,0.5,0.5455,0.381,0.9365
mistral_7b,complet,6,0.4,0.0,0.3333,0.3,0.8332
NL2TOSCA,incomplet,6,0.8571,0.5,0.8333,0.6364,0.9259
claude,incomplet,6,0.7692,0.0,0.5455,0.2857,0.9067
deepseek,incomplet,6,0.5,0.8,0.6,0.5455,0.8923
gemini,incomplet,6,0.3333,0.4,0.5,0.3846,0.866
gpt4o,incomplet,6,0.8,0.5,0.5,0.2667,0.942
llama_70b,incomplet,6,0.6667,0.6667,0.25,0.125,0.8259
mistral_2512,incomplet,6,0.7273,0.4,0.6667,0.4167,0.9379
mistral_7b,incomplet,6,0.0,0.0,0.4444,0.125,0.6491
